Identity	Eligible card rationales	Cards shown	Missing coverage	Why rejected	Source needed
QUANDRIX — Quandrix College	3	Zimone, Infinite Analyst; Adrix and Nev, Twincasters; Primo, the Unbounded	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
SILVERQUILL — Silverquill College	3	Breena, the Demagogue; Shadrix Silverquill; Killian, Decisive Mentor	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WITHERBLOOM — Witherbloom College	3	Dina, Essence Brewer; Willowdusk, Essence Seer; Gorma, the Gullet	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
BANT — Bant	3	Rafiq of the Many; Chulane, Teller of Tales; Derevi, Empyrial Tactician	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate resolves only to support records, not a substantive certified identity claim.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | A bounded adjudicated bridge to at least one substantive certified identity claim.
ESPER — Esper	3	Y'shtola, Night's Blessed; Aminatou, Veil Piercer; Oloro, Ageless Ascetic	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
GRIXIS — Grixis	3	Kess, Dissident Mage; Jeleva, Nephalia's Scourge; Anhelo, the Painter	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Unresolved provenance IDs: src_vm_second_commander_recommendations_ubr, src_scryfall_commander_index_local.	Correct the raw source/claim ledger or candidate references; generated data cannot repair unresolved IDs.
JUND — Jund	3	Prossh, Skyraider of Kher; Henzie "Toolbox" Torre; Lord Windgrace	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Existing wording contains reviewer/source-method language and is not eligible as player copy. | Canonical card name does not resolve in the committed Commander card index. | Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner-reviewed player wording that remains within the existing relationship evidence, or rejection. | Refresh or add a reviewed canonical Scryfall card record before relationship adjudication. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
NAYA — Naya	3	Shalai and Hallar; Godsire; Marath, Will of the Wild	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Generated-only candidate has no matching canonical raw relationship row.	A source-first raw relationship and complete adjudication; generated display data is not authority.
ABZAN — Abzan Houses	3	Felothar the Steadfast; Hamza, Guardian of Arashin; Betor, Ancestor's Voice	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
TEMUR — Temur Frontier	3	Eshki, Temur's Roar; Animar, Soul of Elements; Ureni of the Unwritten	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
SULTAI — Sultai Brood	3	Kotis, Sibsig Champion; The Mimeoplasm; Teval, the Balanced Scale	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
MARDU — Mardu Horde	3	Zurgo Stormrender; Edgar Markov; Isshin, Two Heavens as One	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
JESKAI — Jeskai Way	3	Shiko and Narset, Unified; Kasla, the Broken Halo; Kykar, Wind's Fury	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
YORE — Yore / Artifice	3	Breya, Etherium Shaper; Sharuum the Hegemon; Mishra, Eminent One	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
GLINT — Glint / Chaos	3	Yidris, Maelstrom Wielder; Abaddon the Despoiler; Throes of Chaos	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
DUNE — Dune / Aggression	3	Saskia the Unyielding; Tana, the Bloodsower; Marisi, Breaker of the Coil	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
INK — Ink / Altruism	3	Kynaios and Tiro of Meletis; Collective Voyage; Wedding Ring	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WITCH — Witch / Growth	3	Atraxa, Praetors' Voice; Evolution Sage; The Ozolith	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
COLORLESS — Colorless	3	Omarthis, Ghostfire Initiate; Zhulodok, Void Gorger; Liberator, Urza's Battlethopter	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WUBRG — Five-Color / WUBRG	3	Ulalek, Fused Atrocity; The Ur-Dragon; Sliver Gravemother	Full: approved examples provide useful coverage and no meaningful unresolved card-rationale defect is adjudicated.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
