relationship_id	identity	card	proposed_wording	supporting_identity_claims	supporting_sources	canonical_card_facts	relationship_evidence	limitation	why_wording_may_be_entailed	owner_decision
cardrel_wb_8191342b	WB	Teysa, Orzhov Scion	This version of Teysa strongly expresses Orzhov transaction logic: sacrifice, death, replacement bodies, and exile removal all feed the same contract engine.	orzhov_syndicate_claim_002;orzhov_syndicate_claim_003;orzhov_syndicate_claim_006;orzhov_syndicate_claim_007;orzhov_syndicate_claim_0018;orzhov_syndicate_claim_0020	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=8191342b-b25e-4c4d-8f69-aee662148ff4	data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json#/commander_compass/native_fit_commanders/1: This version of Teysa strongly expresses Orzhov transaction logic: sacrifice, death, replacement bodies, and exile removal all feed the same contract engine.	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Orzhov semantic proof. Skip if you want a simple precon-style gameplan or dislike combo-adjacent sacrifice engines.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wb_647d7988	WB	Karlov of the Ghost Council	Each lifegain event puts two +1/+1 counters on Karlov, and removing six of those counters exiles a creature.	orzhov_syndicate_claim_004;orzhov_syndicate_claim_006;orzhov_syndicate_claim_007;orzhov_syndicate_claim_0018;orzhov_syndicate_claim_0020	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=647d7988-9a5d-4700-9238-938d0d5fae12	data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json#/commander_compass/advanced_complexity_commanders/0: Karlov converts lifegain into visible authority: counters become removal, making every payment and tithe a future sentence.	Can become removal-heavy and commander-centric. Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Orzhov semantic proof. Skip if you want a token-sacrifice deck or dislike commander-damage pressure backed by cheap lifegain triggers.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wb_6c3df703	WB	Obzedat, Ghost Council	Obzedat is the iconic old Orzhov power structure: deathless elites draining value, dodging consequences, and returning to collect again.	orzhov_syndicate_claim_004;orzhov_syndicate_claim_006;orzhov_syndicate_claim_007;orzhov_syndicate_claim_0018;orzhov_syndicate_claim_0020	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=6c3df703-e96a-4ee4-b449-b8e1e3460bd3	data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json#/commander_compass/iconic_lore_forward_commanders/0: Obzedat is the iconic old Orzhov power structure: deathless elites draining value, dodging consequences, and returning to collect again.	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Orzhov semantic proof. Skip if you need a fast engine or dislike high-mana commanders that win through slow drain.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ur_33666a98	UR	Niv-Mizzet, Parun	Niv-Mizzet draws whenever any player casts an instant or sorcery, then turns every card you draw into 1 damage to a target.	claim_izzet_league_0008;claim_izzet_league_0009;claim_izzet_league_0025;claim_izzet_league_0036;claim_izzet_league_0037;claim_izzet_league_0039;claim_izzet_league_0045	src_izzet_league_0002;src_izzet_league_0003;src_izzet_league_0012;src_izzet_league_0010;src_izzet_league_0011	data/scryfall/indexes/commander-index.json#oracle_id=33666a98-812f-4892-9f8d-33e0cbecc340	data/raw-factions/izzet_league/izzet_league.profile.json#/commander_compass/native_fit_commanders/0: He is the cleanest native Izzet bridge: a Ravnican Izzet leader whose gameplay rewards instant/sorcery exchanges with cards and turns card draw into precise damage.	Skip if your table dislikes compact draw-damage combos, repeated triggers, or commanders that become the whole deck plan.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ur_095d9719	UR	Melek, Izzet Paragon	Melek preserves the lab-experiment feel without defaulting to the dragon. Revealing the top card and copying spells feels like an unstable experiment becoming repeatable technique.	claim_izzet_league_0101	src_izzet_league_0014	data/scryfall/indexes/commander-index.json#oracle_id=095d9719-0db6-43de-8e4f-a0035a4c65ed	data/raw-factions/izzet_league/izzet_league.profile.json#/commander_compass/native_fit_commanders/1: Melek preserves the lab-experiment feel without defaulting to the dragon. Revealing the top card and copying spells feels like an unstable experiment becoming repeatable technique.	Skip if you want a low-curve commander or dislike playing with the top of your library revealed.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ur_f787c6cf	UR	Mizzix of the Izmagnus	Mizzix captures the escalating experiment: every correctly sequenced spell makes the next experiment cheaper and more dangerous.	claim_izzet_league_0102	src_izzet_league_0014	data/scryfall/indexes/commander-index.json#oracle_id=f787c6cf-a4ff-487b-a7b0-0f516e68510a	data/raw-factions/izzet_league/izzet_league.profile.json#/commander_compass/advanced_complexity_commanders/0: Mizzix captures the escalating experiment: every correctly sequenced spell makes the next experiment cheaper and more dangerous.	Can drift into high-power combo if tuned aggressively. Skip if your group dislikes storm turns, long sequencing, or commanders that snowball from cost reduction.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ur_899d58dc	UR	Niv-Mizzet, Dracogenius	This is a slower, more table-readable way to center Niv-Mizzet as Izzet identity: intellect, fire, and repeatable resource conversion.	claim_izzet_league_0008;claim_izzet_league_0009;claim_izzet_league_0025;claim_izzet_league_0036;claim_izzet_league_0037;claim_izzet_league_0039;claim_izzet_league_0045	src_izzet_league_0002;src_izzet_league_0003;src_izzet_league_0012;src_izzet_league_0010;src_izzet_league_0011	data/scryfall/indexes/commander-index.json#oracle_id=899d58dc-60b2-4013-9f91-c1888c585d66	data/raw-factions/izzet_league/izzet_league.profile.json#/commander_compass/iconic_lore_forward_commanders/0: This is a slower, more table-readable way to center Niv-Mizzet as Izzet identity: intellect, fire, and repeatable resource conversion.	Skip if you need modern efficiency or want the strongest Niv-Mizzet Commander option.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_bg_87e65e36	BG	Jarad, Golgari Lich Lord	Jarad grows for each creature card in your graveyard and can sacrifice another creature to make each opponent lose life equal to its power.	golgari_swarm_claim_001;golgari_swarm_claim_002;golgari_swarm_claim_003;golgari_swarm_claim_006;golgari_swarm_claim_0018	src_wotc_flavorful_guide_guilds_ravnica_2018;src_wotc_guilds_ravnica_mechanics_2018;src_wotc_guilds_ravnica_prerelease_primer_2018	data/scryfall/indexes/commander-index.json#oracle_id=87e65e36-9483-49fe-b644-2caca092107f	data/raw-factions/golgari_swarm/golgari_swarm.profile.json#/commander_compass/native_fit_commanders/0: A classic Golgari leader who scales with the size of your graveyard and allows you to 'recycle' creatures into direct damage.	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Golgari semantic proof. You don't like 'glass cannon' combos or graveyard hate.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ug_311e9368	UG	Prime Speaker Zegana	Zegana measures your strongest other creature, enters with that many +1/+1 counters, then draws cards equal to her resulting power.	simic_combine_claim_005;simic_combine_claim_006;simic_combine_claim_0018	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=311e9368-696a-47e7-aa2f-3ef1b1a92e2b	data/raw-factions/simic_combine/simic_combine.profile.json#/commander_compass/native_fit_commanders/0: Zegana has source-backed Simic leadership context, while her size-to-cards gameplay is auxiliary Commander texture for improvement and knowledge rather than independent lore proof.	Skip if you want a low-curve commander or a deck that does not rely on having another large creature first.	The draft narrows the internal Commander guidance to the direct native figure relationship stated by the cited substantive claim. It deliberately makes no gameplay, player-motivation, or personality inference.	APPROVE
cardrel_wr_0f5a3a09	WR	Aurelia, the Warleader	Aurelia attacks with haste, untaps your creatures, and creates a second combat the first time she attacks each turn.	boros_legion_claim_004;boros_legion_claim_009;boros_legion_claim_026	src_wotc_flavorful_guide_guilds_ravnica_2018;src_wotc_gatecrash_boros_lore_2013	data/scryfall/indexes/commander-index.json#oracle_id=0f5a3a09-2f07-4774-9e0f-e99d9a444166	data/raw-factions/boros_legion/boros_legion.profile.json#/commander_compass/native_fit_commanders/0: She is the definitive Boros Guildmaster, focused on overwhelming the opponent through sheer military force.	Discovery-only story-corpus claims removed from this support chain during Gate 3. Commander/card/product material remains auxiliary and is not authoritative Boros semantic proof. You prefer a slow, reactive deck or don't enjoy the combat phase.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wr_ae6f21a2	WR	Tajic, Legion's Edge	A low-cost commander whose mentor rewards attacking and who prevents noncombat damage to your other creatures.	boros_legion_claim_006;boros_legion_claim_026	src_wotc_guilds_ravnica_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=ae6f21a2-e6b6-4793-8343-e27310c0bea1	data/raw-factions/boros_legion/boros_legion.profile.json#/commander_compass/budget_friendly_commanders/0: A low-cost commander that protects your team from damage and encourages offensive growth.	Tajic is retained only as auxiliary Commander/card support, not as authoritative key-figure proof. Commander/card/product material remains auxiliary and is not authoritative Boros semantic proof. You are playing against decks with lots of targeted 'destroy' effects rather than 'damage' effects.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wr_aa219936	WR	Feather, the Redeemed	Feather returns an instant or sorcery that targeted one of your creatures to your hand at the next end step instead of letting it stay in the graveyard.	boros_legion_claim_009	src_ravnica_novel_2005;src_wotc_gatecrash_boros_lore_2013	data/scryfall/indexes/commander-index.json#oracle_id=aa219936-661b-4ccb-8741-78b70cff2b1a	data/raw-factions/boros_legion/boros_legion.profile.json#/commander_compass/advanced_complexity_commanders/0: A unique Boros 'spellslinger' engine that turns single-target buffs into recurring value.	Feather is retained only through bounded leadership-transition support; story-corpus claims removed. Commander/card/product material remains auxiliary and is not authoritative Boros semantic proof. You dislike tracking many triggers per turn.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_lorehold_61a41cf1	LOREHOLD	Lorehold, the Historian	Directly embodies the 'Eureka' moment of discovery by granting Miracle to all instants and sorceries in hand.	claim_lorehold_figure_0001;claim_lorehold_figure_0002;claim_lorehold_figure_0003;claim_lorehold_figure_0004;claim_lorehold_mechanic_0011;claim_lorehold_mechanic_0012	src_lorehold_0009;src_lorehold_0002;src_lorehold_0005	data/scryfall/indexes/commander-index.json#oracle_id=61a41cf1-60cc-45ba-aa98-493c14e87d9d	data/raw-factions/lorehold/lorehold.profile.json#/commander_compass/native_fit_commanders/0: Directly embodies the 'Eureka' moment of discovery by granting Miracle to all instants and sorceries in hand.	Requires specific top-deck manipulation (Scroll Rack, Sensei's Divining Top) to maximize Miracle. Your deck is primarily permanent-based (artifacts/creatures) rather than instants and sorceries.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_lorehold_5c40a8d4	LOREHOLD	Quintorius, History Chaser	Represents the college's main protagonist in his 2026 iteration, focusing on the spirit-driven historical research.	claim_lorehold_figure_0005;claim_lorehold_figure_0006;claim_lorehold_figure_0007;claim_lorehold_location_0006;claim_lorehold_timeline_0006;claim_lorehold_figure_0021;claim_lorehold_figure_0015	src_lorehold_0009;src_lorehold_0010;src_lorehold_0008;src_lorehold_0006;src_lorehold_0007;src_lorehold_0013	data/scryfall/indexes/commander-index.json#oracle_id=5c40a8d4-6969-4d71-aba5-5c7e4109b7d5	data/raw-factions/lorehold/lorehold.profile.json#/commander_compass/budget_friendly_commanders/0: Represents the college's main protagonist in his 2026 iteration, focusing on the spirit-driven historical research.	Commander eligibility comes from explicit Oracle text, not from the planeswalker type line alone. You are building a high-power non-creature storm deck.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_lorehold_43832745	LOREHOLD	Velomachus Lorehold	When Velomachus attacks, it looks seven cards deep and can cast an instant or sorcery with mana value no greater than its power without paying that spell's mana cost.	claim_lorehold_figure_0001;claim_lorehold_figure_0002;claim_lorehold_figure_0003;claim_lorehold_figure_0004;claim_lorehold_mechanic_0011;claim_lorehold_mechanic_0012	src_lorehold_0009;src_lorehold_0002;src_lorehold_0005	data/scryfall/indexes/commander-index.json#oracle_id=43832745-5d7d-4957-8e30-2072ad012564	data/raw-factions/lorehold/lorehold.profile.json#/commander_compass/iconic_lore_forward_commanders/0: The founder of the college and the original face of Lorehold's spellslinger-aggro identity.	You want a lower mana-value commander; 7 mana is a steep investment in Boros.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_auto_prismari_348c67ef_9ccc_4651_9038_efdf1ad1b36a	PRISMARI	Rootha, Mastering the Moment	Rootha turns a turn's instant-or-sorcery spellcasting into a visible elemental performance: at the beginning of combat on your turn, she creates a separate flying, hasty Elemental token whose size uses the greatest mana value among those spells cast that turn.	prismari_claim_002;prismari_claim_003;prismari_claim_006;prismari_claim_0017	src_wotc_planeswalkers_guide_strixhaven_2021;src_wotc_planeswalkers_guide_secrets_strixhaven_2026;src_wotc_secrets_strixhaven_commander_decklists_20260401	data/scryfall/indexes/commander-index.json#oracle_id=348c67ef-9ccc-4651-9038-efdf1ad1b36a	data/dossier/card-content-review-proposals.source.json#packet1_rationale_prismari_348c67ef_9ccc_4651_9038_efdf1ad1b36a: Rootha turns an instant or sorcery into a visible elemental performance by creating a flying, hasty Elemental whose size follows that spell's mana value.	A bounded card example validated against certified identity claims and canonical card text. It does not prove player motivation, placement, or identity from color, mechanic, tag, or product membership.	Automatically approved only because the certified identity claims, canonical card observation, bounded bridge, false-positive analysis, and neighbor analysis all pass the shared validator.	PENDING
cardrel_auto_witherbloom_f61c1dc4_2f09_4b50_957f_ee656c659072	WITHERBLOOM	Dina, Essence Brewer	Dina makes Witherbloom's practical life-and-death exchange visible: once each turn, sacrificing a creature draws you a card; her separate activated ability sacrifices another creature to gain you life and put that creature's power in +1/+1 counters on a target creature you control.	witherbloom_claim_0019;witherbloom_claim_0022	src_wotc_planeswalkers_guide_strixhaven_2021;src_wotc_planeswalkers_guide_secrets_strixhaven_2026	data/scryfall/indexes/commander-index.json#oracle_id=f61c1dc4-2f09-4b50-957f-ee656c659072	data/dossier/card-content-review-proposals.source.json#packet1_rationale_witherbloom_f61c1dc4_2f09_4b50_957f_ee656c659072: Dina makes Witherbloom's practical life-and-death exchange visible by turning a sacrificed creature into a card, life, and +1/+1 counters.	A bounded card example validated against certified identity claims and canonical card text. It does not prove player motivation, placement, or identity from color, mechanic, tag, or product membership.	Automatically approved only because the certified identity claims, canonical card observation, bounded bridge, false-positive analysis, and neighbor analysis all pass the shared validator.	PENDING
cardrel_auto_quandrix_977f9390_e01d_4e9d_8e9c_e543b1266972	QUANDRIX	Zimone, Infinite Analyst	Zimone makes mathematical scaling visible: +1/+1 counters reduce the cost of your first X spell each turn, and casting that spell puts two +1/+1 counters on her.	quandrix_claim_002;quandrix_claim_006;quandrix_claim_0017;quandrix_claim_0019	src_wotc_planeswalkers_guide_strixhaven_2021;src_wotc_planeswalkers_guide_secrets_strixhaven_2026;src_wotc_secrets_strixhaven_commander_decklists_20260401	data/scryfall/indexes/commander-index.json#oracle_id=977f9390-e01d-4e9d-8e9c-e543b1266972	data/dossier/card-content-review-proposals.source.json#packet1_rationale_quandrix_977f9390_e01d_4e9d_8e9c_e543b1266972: Zimone makes mathematical scaling visible: +1/+1 counters reduce an X spell's cost, and casting that spell adds more counters and creates a flying Fractal token.	A bounded card example validated against certified identity claims and canonical card text. It does not prove player motivation, placement, or identity from color, mechanic, tag, or product membership.	Automatically approved only because the certified identity claims, canonical card observation, bounded bridge, false-positive analysis, and neighbor analysis all pass the shared validator.	PENDING
