identity	canonical_card_name	canonical_card_id	current_source_pool	relationship_class	certified_identity_claim_ids	exact_card_facts	relationship_evidence	source_ids	exact_source_locators	baseline_disposition	current_disposition	limitation	public_rationale	owner_decision	display_priority
R	Krenko, Mob Boss	68418069-f615-40ef-ae0d-764192acae00	data/raw-factions/red/red.profile.json#/commander_compass/native_fit_commanders/1	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Goblin Warrior; CI=R; oracle_id=68418069-f615-40ef-ae0d-764192acae00	Turns one quick opening into a table-wide rush, keeping Red centered on momentum and immediate pressure.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You dislike creature combat or decks that announce their pressure early. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	2
R	Magda, Brazen Outlaw	3d268e48-3004-4384-bf52-e63243fb5e02	data/raw-factions/red/red.profile.json#/commander_compass/native_fit_commanders/2	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Dwarf Berserker; CI=R; oracle_id=3d268e48-3004-4384-bf52-e63243fb5e02	Converts attack steps into temporary mana and immediate access without leaving mono-Red's action-first center.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want a pure burn deck instead of a treasure-driven pressure engine. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	3
G	Azusa, Lost but Seeking	6c2c8bf3-9bf8-4a86-89d3-3bb36260dc51	data/raw-factions/green/green.profile.json#/commander_compass/native_fit_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Human Monk; CI=G; oracle_id=6c2c8bf3-9bf8-4a86-89d3-3bb36260dc51	Makes Green's patience literal by turning extra land drops into steady, natural acceleration.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want creature combat to be the first identity signal rather than lands and resource growth. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	1
G	Selvala, Heart of the Wilds	1d725121-e50c-42f0-9128-56802f07c89e	data/raw-factions/green/green.profile.json#/commander_compass/native_fit_commanders/1	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Elf Scout; CI=G; oracle_id=1d725121-e50c-42f0-9128-56802f07c89e	Converts creature size into mana and cards, letting living scale become the resource engine.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You dislike decks that can become high-power mana engines quickly. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	2
G	Goreclaw, Terror of Qal Sisma	befb211f-37ca-4083-98d4-9ff1f28be3f2	data/raw-factions/green/green.profile.json#/commander_compass/native_fit_commanders/2	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Bear; CI=G; oracle_id=befb211f-37ca-4083-98d4-9ff1f28be3f2	Keeps mono-Green centered on apex creatures, natural scale, and combat that follows from size.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Verified for name, mono-color identity, legendary creature type line, and Commander legality in Scryfall on 2026-06-13. This is support/navigation, not color philosophy evidence. You want landfall or card-draw engines more than creature-cost reduction and attacks. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	3
WU	Isperia, Supreme Judge	c46718dc-24dc-4b77-b455-aa4c89570b8d	data/raw-factions/azorius_senate/azorius_senate.profile.json#/commander_compass/native_fit_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	azorius_senate_claim_005	Legendary Creature — Sphinx; CI=WU; oracle_id=c46718dc-24dc-4b77-b455-aa4c89570b8d	Directly represents the guild's leadership and punishes those who dare attack the law (you).	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_mtg_stories_the_gathering_storm_chapter_3_c2a81b82;src_mtg_stories_rallying_the_reluctant_d21b8009;src_mtg_stories_ashes_6ede4fea;src_mtg_stories_desperate_operatives_6c6a580b;src_mtg_stories_fblthp_e26059d7	src_wotc_flavorful_guide_ravnica_allegiance_2019=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-allegiance-2019-02-07;src_mtg_stories_the_gathering_storm_chapter_3_c2a81b82=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/036%20-%20Guilds%20of%20Ravnica/009_The%20Gathering%20Storm%3A%20Chapter%203.typ;src_mtg_stories_rallying_the_reluctant_d21b8009=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/038%20-%20War%20of%20the%20Spark/003_Rallying%20the%20Reluctant.typ;src_mtg_stories_ashes_6ede4fea=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/038%20-%20War%20of%20the%20Spark/006_Ashes.typ;src_mtg_stories_desperate_operatives_6c6a580b=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/038%20-%20War%20of%20the%20Spark/004_Desperate%20Operatives.typ;src_mtg_stories_fblthp_e26059d7=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/003%20-%20Gatecrash/009_Fblthp.typ	REVIEW_REQUIRED	APPROVED_PUBLIC	You prefer a proactive, aggressive strategy rather than reactive defense. Provenance resolves and existing Commander guidance states a bounded relationship; public wording still requires owner approval.	Isperia represents Azorius leadership, and her card rewards you with additional information when opponents attack you or your planeswalkers.	APPROVE_AFTER_REVISION	1
WU	Kwain, Itinerant Meddler	ce6a85b5-e249-4582-a6be-ce200da5fd53	data/raw-factions/azorius_senate/azorius_senate.profile.json#/commander_compass/weird_stretch_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	azorius_senate_claim_001;azorius_senate_claim_002;azorius_senate_claim_006;azorius_senate_claim_007	Legendary Creature — Rabbit Wizard; CI=WU; oracle_id=ce6a85b5-e249-4582-a6be-ce200da5fd53	Represents the 'peaceful' side of Azorius bureaucracy where everyone gets a turn, but the House always wins.	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	src_wotc_flavorful_guide_ravnica_allegiance_2019=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-allegiance-2019-02-07;src_wotc_ravnica_allegiance_mechanics_2018=https://magic.wizards.com/en/news/feature/ravnica-allegiance-mechanics	EVIDENCE_NEEDED	EVIDENCE_NEEDED	Not a Ravnica character. Product/thematic fit only; not a Ravnica or Azorius canon character. You dislike giving opponents resources (cards/life). Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	None	NOT_APPLICABLE	2
WU	Grand Arbiter Augustin IV	1f8d4d5f-e82f-45f3-823e-1bb6b536eb18	data/raw-factions/azorius_senate/azorius_senate.profile.json#/commander_compass/advanced_complexity_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	azorius_senate_claim_001;azorius_senate_claim_002;azorius_senate_claim_006;azorius_senate_claim_007	Legendary Creature — Human Advisor; CI=WU; oracle_id=1f8d4d5f-e82f-45f3-823e-1bb6b536eb18	The ultimate expression of Azorius tax-based gameplay; he slows the game down to a crawl.	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	src_wotc_flavorful_guide_ravnica_allegiance_2019=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-allegiance-2019-02-07;src_wotc_ravnica_allegiance_mechanics_2018=https://magic.wizards.com/en/news/feature/ravnica-allegiance-mechanics	REVIEW_REQUIRED	APPROVED_PUBLIC	High salt score on EDHREC. Use with caution. Your playgroup dislikes 'Stax' or games that take 3+ hours. Provenance resolves and existing Commander guidance states a bounded relationship; public wording still requires owner approval.	Grand Arbiter makes your white and blue spells cost less while making every opponent's spell cost more.	APPROVE	3
WU	Lavinia, Azorius Renegade	81ba3a33-0e04-4f68-9a42-1dd717733b57	data/raw-factions/azorius_senate/azorius_senate.profile.json#/commander_compass/iconic_lore_forward_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Human Soldier; CI=WU; oracle_id=81ba3a33-0e04-4f68-9a42-1dd717733b57	A major modern Azorius figure whose gameplay keeps opponents from bypassing normal spell costs and mana constraints.	src_mtg_stories_the_gathering_storm_chapter_3_c2a81b82;src_mtg_stories_rallying_the_reluctant_d21b8009;src_mtg_stories_ashes_6ede4fea;src_mtg_stories_operation_desperation_e6d285ea;src_mtg_stories_episode_1_ghosts_of_our_past_3c1a1077	src_mtg_stories_the_gathering_storm_chapter_3_c2a81b82=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/036%20-%20Guilds%20of%20Ravnica/009_The%20Gathering%20Storm%3A%20Chapter%203.typ;src_mtg_stories_rallying_the_reluctant_d21b8009=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/038%20-%20War%20of%20the%20Spark/003_Rallying%20the%20Reluctant.typ;src_mtg_stories_ashes_6ede4fea=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/038%20-%20War%20of%20the%20Spark/006_Ashes.typ;src_mtg_stories_operation_desperation_e6d285ea=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/038%20-%20War%20of%20the%20Spark/005_Operation%20Desperation.typ;src_mtg_stories_episode_1_ghosts_of_our_past_3c1a1077=https://github.com/polarkac/MTG-Stories/blob/5e0a53c7193ba58835fd811f66612e8f6d6f344b/stories/055%20-%20Murders%20at%20Karlov%20Manor/001_Episode%201%3A%20Ghosts%20of%20Our%20Past.typ	EVIDENCE_NEEDED	EVIDENCE_NEEDED	You are playing in a casual meta where players don't rely on mana rocks or free spells. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	4
UB	Lazav, Dimir Mastermind	8027a610-613e-4640-9840-c8778694f312	data/raw-factions/house_dimir/house_dimir.profile.json#/commander_compass/native_fit_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	house_dimir_claim_001;house_dimir_claim_002;house_dimir_claim_004;house_dimir_claim_0017	Legendary Creature — Shapeshifter; CI=UB; oracle_id=8027a610-613e-4640-9840-c8778694f312	Auxiliary product fit for players who want a Lazav-led Dimir deck; the canonical proof is Lazav as guildmaster, not the deck mechanics.	src_wotc_flavorful_guide_guilds_ravnica_2018;src_wotc_guilds_ravnica_mechanics_2018	src_wotc_flavorful_guide_guilds_ravnica_2018=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-2018-10-03;src_wotc_guilds_ravnica_mechanics_2018=https://magic.wizards.com/en/news/feature/guilds-ravnica-mechanics-2018-09-04	REVIEW_REQUIRED	APPROVED_PUBLIC	Commander/card/product material remains auxiliary and is not authoritative Dimir semantic proof. Skip if you want a transparent table plan or a commander whose appeal does not depend on opponents' graveyards. Provenance resolves and existing Commander guidance states a bounded relationship; public wording still requires owner approval.	When an opponent's creature card reaches their graveyard, Lazav can copy it while keeping his name, legendary status, hexproof, and the ability to copy again.	APPROVE	1
UB	Etrata, the Silencer	2ee87667-ec9d-4ced-b7e6-df3fd18b0ed6	data/raw-factions/house_dimir/house_dimir.profile.json#/commander_compass/weird_stretch_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	house_dimir_claim_001;house_dimir_claim_0017	Legendary Creature — Vampire Assassin; CI=UB; oracle_id=2ee87667-ec9d-4ced-b7e6-df3fd18b0ed6	Auxiliary product texture for the assassin side of the official Dimir overview; it is not a source-backed key-figure proof chain in this packet.	src_wotc_flavorful_guide_guilds_ravnica_2018;src_wotc_guilds_ravnica_mechanics_2018	src_wotc_flavorful_guide_guilds_ravnica_2018=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-2018-10-03;src_wotc_guilds_ravnica_mechanics_2018=https://magic.wizards.com/en/news/feature/guilds-ravnica-mechanics-2018-09-04	EVIDENCE_NEEDED	EVIDENCE_NEEDED	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Skip if you do not want a commander that repeatedly leaves combat and can be mechanically awkward. Existing wording contains reviewer/source-method language and is not eligible as player copy.	None	NOT_APPLICABLE	2
BR	Rakdos, Lord of Riots	143a269a-b9ee-48ba-bd7b-4aa46eb36778	data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#/commander_compass/native_fit_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	cult_of_rakdos_claim_001;cult_of_rakdos_claim_002;cult_of_rakdos_claim_003;cult_of_rakdos_claim_004;cult_of_rakdos_claim_005;cult_of_rakdos_claim_006	Legendary Creature — Demon; CI=BR; oracle_id=143a269a-b9ee-48ba-bd7b-4aa46eb36778	Rakdos is the native demon-headliner choice: opponents must lose life before the show begins, then life-loss discounts enormous creatures.	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	src_wotc_flavorful_guide_ravnica_allegiance_2019=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-allegiance-2019-02-07;src_wotc_ravnica_allegiance_mechanics_2018=https://magic.wizards.com/en/news/feature/ravnica-allegiance-mechanics	REVIEW_REQUIRED	APPROVED_PUBLIC	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Rakdos semantic proof. Skip if you want consistent early casting, low variance, or a commander that avoids big threat perception. Provenance resolves and existing Commander guidance states a bounded relationship; public wording still requires owner approval.	Rakdos is the native demon-headliner choice: opponents must lose life before the show begins, then life-loss discounts enormous creatures.	APPROVE	1
BR	Judith, the Scourge Diva	c01516e0-eec3-4370-b935-7674982e8850	data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#/commander_compass/native_fit_commanders/1	APPROVED_COMMANDER_GUIDANCE_CANDIDATE		Legendary Creature — Human Shaman; CI=BR; oracle_id=c01516e0-eec3-4370-b935-7674982e8850	Judith makes the cult feel like a packed stage: every creature hits harder, and nontoken creatures dying throw damage back into the audience.			EVIDENCE_NEEDED	EVIDENCE_NEEDED	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Rakdos semantic proof. Skip if you want a large demon commander or dislike small-creature sacrifice combat. Candidate uses missing, string-only, or incomplete claim/source provenance.	None	NOT_APPLICABLE	2
BR	Blim, Comedic Genius	c7cf9574-e2cf-4137-a224-73f76c5d11d7	data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#/commander_compass/weird_stretch_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	cult_of_rakdos_claim_001;cult_of_rakdos_claim_002;cult_of_rakdos_claim_003;cult_of_rakdos_claim_004;cult_of_rakdos_claim_005;cult_of_rakdos_claim_006	Legendary Creature — Imp; CI=BR; oracle_id=c7cf9574-e2cf-4137-a224-73f76c5d11d7	Blim is weird Rakdos in the right way: comedy, punisher edge, and bad gifts become the performance mechanic.	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	src_wotc_flavorful_guide_ravnica_allegiance_2019=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-allegiance-2019-02-07;src_wotc_ravnica_allegiance_mechanics_2018=https://magic.wizards.com/en/news/feature/ravnica-allegiance-mechanics	EVIDENCE_NEEDED	EVIDENCE_NEEDED	Not Ravnica-native; product fit is tonal and mechanical. Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Rakdos semantic proof. Skip if your table dislikes donated permanents, confusing board states, or spiteful politics. Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	None	NOT_APPLICABLE	3
BR	Juri, Master of the Revue	3364bad6-6d0a-4141-b410-86e3d9e1916e	data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#/commander_compass/budget_friendly_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	cult_of_rakdos_claim_001;cult_of_rakdos_claim_002;cult_of_rakdos_claim_003;cult_of_rakdos_claim_004;cult_of_rakdos_claim_005;cult_of_rakdos_claim_006	Legendary Creature — Human Shaman; CI=BR; oracle_id=3364bad6-6d0a-4141-b410-86e3d9e1916e	Juri is a compact stage-manager for budget Rakdos sacrifice: every sacrificed permanent builds toward one dramatic final damage burst.	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	src_wotc_flavorful_guide_ravnica_allegiance_2019=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-allegiance-2019-02-07;src_wotc_ravnica_allegiance_mechanics_2018=https://magic.wizards.com/en/news/feature/ravnica-allegiance-mechanics	EVIDENCE_NEEDED	EVIDENCE_NEEDED	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Rakdos semantic proof. Skip if you want demon tribal or a commander that wins without sacrifice density. Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	None	NOT_APPLICABLE	4
BR	Prosper, Tome-Bound	1e9b0fd6-5aae-401a-8df5-d94ce6442696	data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#/commander_compass/advanced_complexity_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	cult_of_rakdos_claim_001;cult_of_rakdos_claim_002;cult_of_rakdos_claim_003;cult_of_rakdos_claim_004;cult_of_rakdos_claim_005;cult_of_rakdos_claim_006	Legendary Creature — Tiefling Warlock; CI=BR; oracle_id=1e9b0fd6-5aae-401a-8df5-d94ce6442696	Prosper is not Rakdos-cult lore, but as product guidance he turns risk-forward opportunity into material gain: every stolen moment from exile becomes treasure.	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	src_wotc_flavorful_guide_ravnica_allegiance_2019=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-allegiance-2019-02-07;src_wotc_ravnica_allegiance_mechanics_2018=https://magic.wizards.com/en/news/feature/ravnica-allegiance-mechanics	EVIDENCE_NEEDED	EVIDENCE_NEEDED	Strong generic BR product fit, but not a lore-forward Cult of Rakdos card. Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Rakdos semantic proof. Skip if you want strict Ravnican flavor or if your group dislikes high-efficiency value engines. Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	None	NOT_APPLICABLE	5
BR	Rakdos, the Showstopper	03a4b997-4738-41a9-933f-e1f765e3a75a	data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json#/commander_compass/iconic_lore_forward_commanders/0	APPROVED_COMMANDER_GUIDANCE_CANDIDATE	cult_of_rakdos_claim_001;cult_of_rakdos_claim_002;cult_of_rakdos_claim_003;cult_of_rakdos_claim_004;cult_of_rakdos_claim_005;cult_of_rakdos_claim_006	Legendary Creature — Demon; CI=BR; oracle_id=03a4b997-4738-41a9-933f-e1f765e3a75a	This is a pure flavor-forward Rakdos performance: the demon arrives, the stage erupts, and survival becomes a coin-flip spectacle.	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	src_wotc_flavorful_guide_ravnica_allegiance_2019=https://magic.wizards.com/en/news/feature/flavorful-guide-guilds-ravnica-allegiance-2019-02-07;src_wotc_ravnica_allegiance_mechanics_2018=https://magic.wizards.com/en/news/feature/ravnica-allegiance-mechanics	REVIEW_REQUIRED	APPROVED_PUBLIC	High-variance by design. Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Rakdos semantic proof. Skip if you want reliability, low variance, or table-safe board states. Provenance resolves and existing Commander guidance states a bounded relationship; public wording still requires owner approval.	This is a pure flavor-forward Rakdos performance: the demon arrives, the stage erupts, and survival becomes a coin-flip spectacle.	APPROVE	6
